# GPT2-BASIC fixed-point parity vectors
# profile=486sx-safe
# tokenizer=lexicon vocab=2710 merges=0
# format: V|name|context_len|comma_tokens|top_count|token:logit,...
# format: P|name|phase|dim|value_count|index:value,...
V|what_makes_this_real_inf|3|2087,504,65|8|261:74032,818:57235,915:46273,816:46009,1369:45588,548:44754,996:44183,291:42800
P|what_makes_this_real_inf|embedding|48|8|0:403,1:4221,2:6975,3:7124,4:-898,5:-2375,6:-4211,7:-2405
P|what_makes_this_real_inf|ln1|48|8|0:3166,1:6394,2:1928,3:3377,4:7166,5:-1493,6:-3650,7:1960
P|what_makes_this_real_inf|q|48|8|0:7459,1:6448,2:-3474,3:-9128,4:6567,5:2056,6:11897,7:-4767
P|what_makes_this_real_inf|k|48|8|0:-14999,1:-1806,2:-13183,3:16337,4:1371,5:-14255,6:-18333,7:-1749
P|what_makes_this_real_inf|v|48|8|0:-3641,1:-5950,2:5881,3:-723,4:2557,5:7028,6:5262,7:-1219
P|what_makes_this_real_inf|attn|48|8|0:-4828,1:-6847,2:2064,3:-6227,4:-2804,5:-3255,6:-5728,7:-4233
P|what_makes_this_real_inf|proj|48|8|0:384,1:-190,2:430,3:2319,4:3183,5:6997,6:-2161,7:-2591
P|what_makes_this_real_inf|ln2|48|8|0:3002,1:5992,2:1563,3:5207,4:9697,5:3062,6:-5416,7:-237
P|what_makes_this_real_inf|ff1|192|8|0:-695,1:2070,2:-366,3:-192,4:-496,5:-440,6:65,7:572
P|what_makes_this_real_inf|ff2|48|8|0:-1387,1:-7098,2:3752,3:-3630,4:-4103,5:2795,6:798,7:-3900
P|what_makes_this_real_inf|hidden|48|8|0:4134,1:1986,2:7252,3:4377,4:9134,5:7837,6:-6258,7:-3312
P|what_makes_this_real_inf|final_ln|48|8|0:2811,1:-223,2:6895,3:3384,4:11336,5:9712,6:-8200,7:-6355
P|what_makes_this_real_inf|logits|2710|8|261:74032,818:57235,915:46273,816:46009,1369:45588,548:44754,996:44183,291:42800
V|gpt2_basic_on_a_486|6|73,82,86,52,2390,1715|8|2245:47485,1129:46119,2550:44534,547:43423,862:39302,425:37476,264:37041,34:37004
P|gpt2_basic_on_a_486|embedding|48|8|0:185,1:-920,2:734,3:-511,4:-4816,5:4047,6:5988,7:5437
P|gpt2_basic_on_a_486|ln1|48|8|0:-4502,1:989,2:-2559,3:-2258,4:-2173,5:4002,6:3623,7:6776
P|gpt2_basic_on_a_486|q|48|8|0:1458,1:12734,2:-2480,3:576,4:3915,5:-1816,6:7622,7:575
P|gpt2_basic_on_a_486|k|48|8|0:-14646,1:-10242,2:-11556,3:15999,4:3165,5:-17520,6:-18816,7:-5114
P|gpt2_basic_on_a_486|v|48|8|0:-4564,1:-1149,2:1326,3:1733,4:8025,5:8975,6:9037,7:-492
P|gpt2_basic_on_a_486|attn|48|8|0:1212,1:268,2:3283,3:-148,4:5578,5:2989,6:-1175,7:-1006
P|gpt2_basic_on_a_486|proj|48|8|0:742,1:-2758,2:4949,3:5499,4:-3734,5:-3586,6:-953,7:404
P|gpt2_basic_on_a_486|ln2|48|8|0:-5787,1:-1194,2:448,3:1947,4:-6356,5:1989,6:3822,7:8920
P|gpt2_basic_on_a_486|ff1|192|8|0:-681,1:-466,2:2605,3:85,4:-507,5:-702,6:-385,7:1566
P|gpt2_basic_on_a_486|ff2|48|8|0:5398,1:4609,2:4080,3:-3081,4:286,5:10510,6:4688,7:-8838
P|gpt2_basic_on_a_486|hidden|48|8|0:-153,1:3740,2:5270,3:-683,4:-6722,5:12980,6:8734,7:1613
P|gpt2_basic_on_a_486|final_ln|48|8|0:-2044,1:2322,2:4704,3:-2673,4:-8024,5:16189,6:11152,7:269
P|gpt2_basic_on_a_486|logits|2710|8|2245:47485,1129:46119,2550:44534,547:43423,862:39302,425:37476,264:37041,34:37004
V|dos_language_models_need|12|70,81,85,760,34,111,113,102,103,110,117,618|8|295:57963,520:51939,383:49733,1077:43385,1295:43066,2568:41474,1788:40652,1600:38616
P|dos_language_models_need|embedding|48|8|0:-6960,1:4236,2:-1049,3:5014,4:5455,5:3471,6:-5392,7:484
P|dos_language_models_need|ln1|48|8|0:-7824,1:2922,2:-31,3:2535,4:5707,5:7187,6:-2619,7:2054
P|dos_language_models_need|q|48|8|0:-719,1:5649,2:6766,3:1426,4:5151,5:-4467,6:8224,7:-962
P|dos_language_models_need|k|48|8|0:-11837,1:-8120,2:-2151,3:16572,4:5805,5:-15565,6:-16672,7:-223
P|dos_language_models_need|v|48|8|0:-4961,1:-335,2:-3345,3:509,4:12087,5:6812,6:3136,7:-778
P|dos_language_models_need|attn|48|8|0:-514,1:951,2:-1278,3:311,4:4119,5:3073,6:694,7:-546
P|dos_language_models_need|proj|48|8|0:-2127,1:-3184,2:-539,3:-2203,4:694,5:-2918,6:-2327,7:-1121
P|dos_language_models_need|ln2|48|8|0:-13038,1:325,2:-1033,3:1518,4:8174,5:5861,6:-5317,7:1563
P|dos_language_models_need|ff1|192|8|0:-668,1:-79,2:-670,3:2116,4:-384,5:-268,6:-347,7:1232
P|dos_language_models_need|ff2|48|8|0:4915,1:-852,2:2747,3:-3572,4:-949,5:-2976,6:733,7:-2636
P|dos_language_models_need|hidden|48|8|0:-6312,1:184,2:2676,3:-1625,4:7026,5:3366,6:-4334,7:-557
P|dos_language_models_need|final_ln|48|8|0:-10326,1:-1502,2:2558,3:-3754,4:10701,5:5490,6:-5431,7:-2031
P|dos_language_models_need|logits|2710|8|295:57963,520:51939,383:49733,1077:43385,1295:43066,2568:41474,1788:40652,1600:38616
